user_name,scenario_name,period,raw,score,total_score,timestamp
gainaab,シナリオ1,2026-2050,"{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}",20.34,2025-05-23 07:12:07.004893+00:00
gainaab,シナリオ1,2051-2075,"{'収量': 2533.5848797376534, '洪水被害': 41823601.162271366, '予算': 5000000.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 0.8, '洪水被害': 20.9, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}",4.34,2025-05-23 07:12:33.476377+00:00
gainaab,シナリオ1,2076-2100,"{'収量': 1089.5987765759821, '洪水被害': 51493918.77485125, '予算': 5000000.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 0.4, '洪水被害': 25.7, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}",5.22,2025-05-23 07:12:42.104021+00:00
nishino,シナリオ1,2026-2050,"{'収量': 5000.0, '洪水被害': 0.0, '予算': 721000000.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.7, '洪水被害': -0.0, '予算': 0.7, '生態系': 100.0, '都市利便性': 0.0}",20.48,2025-05-21 01:27:17.187502+00:00
nishino,シナリオ1,2051-2075,"{'収量': 4183.839155104497, '洪水被害': 11412081.993900202, '予算': 1162000000.0, '生態系': 10.719979222247858, '都市利便性': 0.0}","{'収量': 1.4, '洪水被害': 5.7, '予算': 1.2, '生態系': 10.7, '都市利便性': 0.0}",3.8,2025-05-21 01:27:28.844833+00:00
takuto,シナリオ1,2026-2050,"{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}",20.34,2025-05-21 00:22:40.967574+00:00
takuto,シナリオ1,2051-2075,"{'収量': 3715.7456875022904, '洪水被害': 74723616.66094962, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 1.2, '洪水被害': 37.4, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}",7.720000000000001,2025-05-21 00:22:44.551919+00:00
takuto,シナリオ1,2076-2100,"{'収量': 2184.8202635036846, '洪水被害': 128364205.04164398, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 0.7, '洪水被害': 64.2, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}",12.98,2025-05-21 00:22:47.858020+00:00
test,シナリオ1,2026-2050,"{'収量': 4818.746112687272, '洪水被害': 18125388.731272817, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.6, '洪水被害': 9.1, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}",22.14,2025-05-20 03:01:12.177594+00:00
test,シナリオ1,2051-2075,"{'収量': 4626.232527037972, '洪水被害': 17817570.24533977, '予算': 0.0, '生態系': 8.082729121748038, '都市利便性': 0.0}","{'収量': 1.5, '洪水被害': 8.9, '予算': -0.0, '生態系': 8.1, '都市利便性': 0.0}",3.7,2025-05-20 03:01:17.103897+00:00
test,シナリオ1,2076-2100,"{'収量': 1084.2637355929423, '洪水被害': 0.0, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 0.4, '洪水被害': -0.0, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}",0.08,2025-05-20 03:01:21.299587+00:00
test10,シナリオ1,2026-2050,"{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}",20.34,2025-05-20 05:04:10.846604+00:00
test10,シナリオ1,2051-2075,"{'収量': 1264.6383119546026, '洪水被害': 92791319.65344894, '予算': 231000000.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 0.4, '洪水被害': 46.4, '予算': 0.2, '生態系': 0.0, '都市利便性': 0.0}",9.4,2025-05-20 05:04:20.708522+00:00
test10,シナリオ1,2076-2100,"{'収量': 2166.139013178039, '洪水被害': 61269866.008222, '予算': 291000000.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 0.7, '洪水被害': 30.6, '予算': 0.3, '生態系': 0.0, '都市利便性': 0.0}",6.32,2025-05-20 05:04:28.476314+00:00
test11,シナリオ1,2026-2050,"{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}",20.34,2025-05-20 05:05:48.864617+00:00
test11,シナリオ1,2051-2075,"{'収量': 4171.5413480427205, '洪水被害': 82845865.19572796, '予算': 0.0, '生態系': 99.87000000000012, '都市利便性': 0.0}","{'収量': 1.4, '洪水被害': 41.4, '予算': -0.0, '生態系': 99.9, '都市利便性': 0.0}",28.54,2025-05-20 05:05:52.594692+00:00
test11,シナリオ1,2076-2100,"{'収量': 4421.697326847047, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.74500000000023, '都市利便性': 0.0}","{'収量': 1.5, '洪水被害': -0.0, '予算': -0.0, '生態系': 99.7, '都市利便性': 0.0}",20.24,2025-05-20 05:05:55.822585+00:00
wada,シナリオ1,2026-2050,"{'収量': 5000.0, '洪水被害': 0.0, '予算': 0.0, '生態系': 99.995, '都市利便性': 0.0}","{'収量': 1.7, '洪水被害': -0.0, '予算': -0.0, '生態系': 100.0, '都市利便性': 0.0}",20.34,2025-05-22 00:47:55.483506+00:00
wada,シナリオ1,2051-2075,"{'収量': 4794.144505618968, '洪水被害': 20585549.4381032, '予算': 0.0, '生態系': 63.56333549471158, '都市利便性': 0.0}","{'収量': 1.6, '洪水被害': 10.3, '予算': -0.0, '生態系': 63.6, '都市利便性': 0.0}",15.1,2025-05-22 00:47:59.691018+00:00
wada,シナリオ1,2076-2100,"{'収量': 2944.2775358495355, '洪水被害': 109371358.7019243, '予算': 0.0, '生態系': 0.0, '都市利便性': 0.0}","{'収量': 1.0, '洪水被害': 54.7, '予算': -0.0, '生態系': 0.0, '都市利便性': 0.0}",11.14,2025-05-22 00:48:03.700570+00:00
