seed,scenario,label,turn,available_budget_mana,used_mana,remaining_mana,violations,planting_trees_amount,house_migration_amount,dam_levee_construction_cost,paddy_dam_construction_cost,capacity_building_cost,agricultural_RnD_cost
1,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
1,01_no_policy,放置,2,8.074,0.0,8.074,,0.0,0.0,0.0,0.0,0.0,0.0
1,01_no_policy,放置,3,4.757,0.0,4.757,,0.0,0.0,0.0,0.0,0.0,0.0
1,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
1,02_hard_infra,堤防偏重,2,8.074,8.074,0.0,,0.0,0.0,8.074,0.0,0.0,0.0
1,02_hard_infra,堤防偏重,3,5.31,5.31,0.0,,0.0,0.0,5.31,0.0,0.0,0.0
1,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
1,03_nature_based,自然共生偏重,2,8.077,8.077,0.0,,2.077,0.0,0.0,6.0,0.0,0.0
1,03_nature_based,自然共生偏重,3,4.894,4.894,0.0,,0.0,0.0,0.0,4.894,0.0,0.0
1,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
1,04_agri_rnd,農業R&D偏重,2,8.074,8.074,0.0,,6.074,0.0,0.0,0.0,0.0,2.0
1,04_agri_rnd,農業R&D偏重,3,4.836,4.836,0.0,,2.836,0.0,0.0,0.0,0.0,2.0
1,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
1,05_relocation_capacity,移転・防災偏重,2,6.05,6.05,0.0,,0.0,5.05,0.0,0.0,1.0,0.0
1,05_relocation_capacity,移転・防災偏重,3,1.907,1.0,0.907,unused_mana=0.91,0.0,0.0,0.0,0.0,1.0,0.0
1,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
1,06_balanced,バランス型,2,8.088,8.088,0.0,,3.088,0.0,0.0,2.0,1.0,2.0
1,06_balanced,バランス型,3,5.244,5.0,0.244,unused_mana=0.24,0.0,0.0,0.0,2.0,1.0,2.0
1,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
1,07_late_response,後手対応,2,8.074,8.0,0.074,unused_mana=0.07,0.0,0.0,5.0,0.0,1.0,2.0
1,07_late_response,後手対応,3,4.884,4.884,0.0,,0.0,0.0,0.0,1.884,1.0,2.0
1,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
1,08_ecosystem_sacrifice,生態系犠牲型,2,8.074,8.074,0.0,,0.0,0.0,8.074,0.0,0.0,0.0
1,08_ecosystem_sacrifice,生態系犠牲型,3,5.31,5.31,0.0,,0.0,0.0,5.31,0.0,0.0,0.0
1,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
1,09_flood_neglect,洪水軽視型,2,8.074,8.074,0.0,,6.074,0.0,0.0,0.0,0.0,2.0
1,09_flood_neglect,洪水軽視型,3,4.836,4.836,0.0,,2.836,0.0,0.0,0.0,0.0,2.0
2,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
2,01_no_policy,放置,2,7.664,0.0,7.664,,0.0,0.0,0.0,0.0,0.0,0.0
2,01_no_policy,放置,3,5.181,0.0,5.181,,0.0,0.0,0.0,0.0,0.0,0.0
2,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
2,02_hard_infra,堤防偏重,2,7.758,7.758,0.0,,0.0,0.0,7.758,0.0,0.0,0.0
2,02_hard_infra,堤防偏重,3,5.636,5.636,0.0,,0.0,0.0,5.636,0.0,0.0,0.0
2,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
2,03_nature_based,自然共生偏重,2,7.69,7.69,0.0,,1.69,0.0,0.0,6.0,0.0,0.0
2,03_nature_based,自然共生偏重,3,5.29,5.29,0.0,,0.0,0.0,0.0,5.29,0.0,0.0
2,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
2,04_agri_rnd,農業R&D偏重,2,7.664,7.664,0.0,,5.664,0.0,0.0,0.0,0.0,2.0
2,04_agri_rnd,農業R&D偏重,3,5.253,5.253,0.0,,3.253,0.0,0.0,0.0,0.0,2.0
2,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
2,05_relocation_capacity,移転・防災偏重,2,5.772,5.772,0.0,,0.0,4.772,0.0,0.0,1.0,0.0
2,05_relocation_capacity,移転・防災偏重,3,2.252,2.252,0.0,,0.0,1.252,0.0,0.0,1.0,0.0
2,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
2,06_balanced,バランス型,2,7.796,7.796,0.0,,2.796,0.0,0.0,2.0,1.0,2.0
2,06_balanced,バランス型,3,5.539,5.0,0.539,unused_mana=0.54,0.0,0.0,0.0,2.0,1.0,2.0
2,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
2,07_late_response,後手対応,2,7.664,7.664,0.0,,0.0,0.0,5.0,0.0,1.0,1.664
2,07_late_response,後手対応,3,5.303,5.0,0.303,unused_mana=0.30,0.0,0.0,5.0,0.0,0.0,0.0
2,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
2,08_ecosystem_sacrifice,生態系犠牲型,2,7.758,7.758,0.0,,0.0,0.0,7.758,0.0,0.0,0.0
2,08_ecosystem_sacrifice,生態系犠牲型,3,5.636,5.636,0.0,,0.0,0.0,5.636,0.0,0.0,0.0
2,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
2,09_flood_neglect,洪水軽視型,2,7.664,7.664,0.0,,5.664,0.0,0.0,0.0,0.0,2.0
2,09_flood_neglect,洪水軽視型,3,5.253,5.253,0.0,,3.253,0.0,0.0,0.0,0.0,2.0
4,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
4,01_no_policy,放置,2,7.674,0.0,7.674,,0.0,0.0,0.0,0.0,0.0,0.0
4,01_no_policy,放置,3,5.197,0.0,5.197,,0.0,0.0,0.0,0.0,0.0,0.0
4,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
4,02_hard_infra,堤防偏重,2,7.767,7.767,0.0,,0.0,0.0,7.767,0.0,0.0,0.0
4,02_hard_infra,堤防偏重,3,5.599,5.599,0.0,,0.0,0.0,5.599,0.0,0.0,0.0
4,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
4,03_nature_based,自然共生偏重,2,7.696,7.696,0.0,,1.696,0.0,0.0,6.0,0.0,0.0
4,03_nature_based,自然共生偏重,3,5.299,5.299,0.0,,0.0,0.0,0.0,5.299,0.0,0.0
4,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
4,04_agri_rnd,農業R&D偏重,2,7.674,7.674,0.0,,5.674,0.0,0.0,0.0,0.0,2.0
4,04_agri_rnd,農業R&D偏重,3,5.255,5.255,0.0,,3.255,0.0,0.0,0.0,0.0,2.0
4,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
4,05_relocation_capacity,移転・防災偏重,2,5.759,5.759,0.0,,0.0,4.759,0.0,0.0,1.0,0.0
4,05_relocation_capacity,移転・防災偏重,3,2.267,2.267,0.0,,0.0,1.267,0.0,0.0,1.0,0.0
4,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
4,06_balanced,バランス型,2,7.792,7.792,0.0,,2.792,0.0,0.0,2.0,1.0,2.0
4,06_balanced,バランス型,3,5.549,5.0,0.549,unused_mana=0.55,0.0,0.0,0.0,2.0,1.0,2.0
4,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
4,07_late_response,後手対応,2,7.674,7.674,0.0,,0.0,0.0,5.0,0.0,1.0,1.674
4,07_late_response,後手対応,3,5.309,5.0,0.309,unused_mana=0.31,0.0,0.0,5.0,0.0,0.0,0.0
4,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
4,08_ecosystem_sacrifice,生態系犠牲型,2,7.767,7.767,0.0,,0.0,0.0,7.767,0.0,0.0,0.0
4,08_ecosystem_sacrifice,生態系犠牲型,3,5.599,5.599,0.0,,0.0,0.0,5.599,0.0,0.0,0.0
4,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
4,09_flood_neglect,洪水軽視型,2,7.674,7.674,0.0,,5.674,0.0,0.0,0.0,0.0,2.0
4,09_flood_neglect,洪水軽視型,3,5.255,5.255,0.0,,3.255,0.0,0.0,0.0,0.0,2.0
67,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
67,01_no_policy,放置,2,6.781,0.0,6.781,,0.0,0.0,0.0,0.0,0.0,0.0
67,01_no_policy,放置,3,3.83,0.0,3.83,,0.0,0.0,0.0,0.0,0.0,0.0
67,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
67,02_hard_infra,堤防偏重,2,6.914,6.914,0.0,,0.0,0.0,6.914,0.0,0.0,0.0
67,02_hard_infra,堤防偏重,3,4.589,4.589,0.0,,0.0,0.0,0.0,4.589,0.0,0.0
67,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
67,03_nature_based,自然共生偏重,2,6.824,6.0,0.824,unused_mana=0.82,0.0,0.0,0.0,6.0,0.0,0.0
67,03_nature_based,自然共生偏重,3,4.063,4.063,0.0,,0.0,0.0,0.0,4.063,0.0,0.0
67,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
67,04_agri_rnd,農業R&D偏重,2,6.781,6.781,0.0,,4.781,0.0,0.0,0.0,0.0,2.0
67,04_agri_rnd,農業R&D偏重,3,4.002,4.002,0.0,,2.002,0.0,0.0,0.0,0.0,2.0
67,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
67,05_relocation_capacity,移転・防災偏重,2,5.011,5.011,0.0,,0.0,4.011,0.0,0.0,1.0,0.0
67,05_relocation_capacity,移転・防災偏重,3,1.459,1.0,0.459,unused_mana=0.46,0.0,0.0,0.0,0.0,1.0,0.0
67,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
67,06_balanced,バランス型,2,6.936,6.936,0.0,,1.936,0.0,0.0,2.0,1.0,2.0
67,06_balanced,バランス型,3,4.608,4.608,0.0,,0.0,0.0,0.0,1.608,1.0,2.0
67,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
67,07_late_response,後手対応,2,6.781,6.0,0.781,unused_mana=0.78,0.0,0.0,5.0,0.0,1.0,0.0
67,07_late_response,後手対応,3,4.008,4.008,0.0,,0.0,0.0,0.0,1.008,1.0,2.0
67,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
67,08_ecosystem_sacrifice,生態系犠牲型,2,6.914,6.914,0.0,,0.0,0.0,6.914,0.0,0.0,0.0
67,08_ecosystem_sacrifice,生態系犠牲型,3,4.589,4.589,0.0,,0.0,4.589,0.0,0.0,0.0,0.0
67,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
67,09_flood_neglect,洪水軽視型,2,6.781,6.781,0.0,,4.781,0.0,0.0,0.0,0.0,2.0
67,09_flood_neglect,洪水軽視型,3,4.002,4.002,0.0,,2.002,0.0,0.0,0.0,0.0,2.0
239,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
239,01_no_policy,放置,2,7.396,0.0,7.396,,0.0,0.0,0.0,0.0,0.0,0.0
239,01_no_policy,放置,3,3.555,0.0,3.555,,0.0,0.0,0.0,0.0,0.0,0.0
239,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
239,02_hard_infra,堤防偏重,2,7.585,7.585,0.0,,0.0,0.0,7.585,0.0,0.0,0.0
239,02_hard_infra,堤防偏重,3,4.573,4.573,0.0,,0.0,0.0,0.0,4.573,0.0,0.0
239,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
239,03_nature_based,自然共生偏重,2,7.442,7.442,0.0,,1.442,0.0,0.0,6.0,0.0,0.0
239,03_nature_based,自然共生偏重,3,3.829,3.829,0.0,,0.0,0.0,0.0,3.829,0.0,0.0
239,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
239,04_agri_rnd,農業R&D偏重,2,7.396,7.396,0.0,,5.396,0.0,0.0,0.0,0.0,2.0
239,04_agri_rnd,農業R&D偏重,3,3.76,3.76,0.0,,1.76,0.0,0.0,0.0,0.0,2.0
239,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
239,05_relocation_capacity,移転・防災偏重,2,5.511,5.511,0.0,,0.0,4.511,0.0,0.0,1.0,0.0
239,05_relocation_capacity,移転・防災偏重,3,1.255,1.0,0.255,unused_mana=0.25,0.0,0.0,0.0,0.0,1.0,0.0
239,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
239,06_balanced,バランス型,2,7.59,7.59,0.0,,2.59,0.0,0.0,2.0,1.0,2.0
239,06_balanced,バランス型,3,4.5,4.5,0.0,,0.0,0.0,0.0,1.5,1.0,2.0
239,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
239,07_late_response,後手対応,2,7.396,7.396,0.0,,0.0,0.0,5.0,0.0,1.0,1.396
239,07_late_response,後手対応,3,3.806,3.0,0.806,unused_mana=0.81,0.0,0.0,0.0,0.0,1.0,2.0
239,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
239,08_ecosystem_sacrifice,生態系犠牲型,2,7.585,7.585,0.0,,0.0,0.0,7.585,0.0,0.0,0.0
239,08_ecosystem_sacrifice,生態系犠牲型,3,4.573,4.573,0.0,,0.0,4.573,0.0,0.0,0.0,0.0
239,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
239,09_flood_neglect,洪水軽視型,2,7.396,7.396,0.0,,5.396,0.0,0.0,0.0,0.0,2.0
239,09_flood_neglect,洪水軽視型,3,3.76,3.76,0.0,,1.76,0.0,0.0,0.0,0.0,2.0
333,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
333,01_no_policy,放置,2,6.965,0.0,6.965,,0.0,0.0,0.0,0.0,0.0,0.0
333,01_no_policy,放置,3,4.462,0.0,4.462,,0.0,0.0,0.0,0.0,0.0,0.0
333,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
333,02_hard_infra,堤防偏重,2,7.101,7.101,0.0,,0.0,0.0,7.101,0.0,0.0,0.0
333,02_hard_infra,堤防偏重,3,5.283,5.283,0.0,,0.0,0.0,5.283,0.0,0.0,0.0
333,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
333,03_nature_based,自然共生偏重,2,7.005,7.005,0.0,,1.005,0.0,0.0,6.0,0.0,0.0
333,03_nature_based,自然共生偏重,3,4.68,4.68,0.0,,0.0,0.0,0.0,4.68,0.0,0.0
333,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
333,04_agri_rnd,農業R&D偏重,2,6.965,6.965,0.0,,4.965,0.0,0.0,0.0,0.0,2.0
333,04_agri_rnd,農業R&D偏重,3,4.652,4.652,0.0,,2.652,0.0,0.0,0.0,0.0,2.0
333,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
333,05_relocation_capacity,移転・防災偏重,2,5.201,5.201,0.0,,0.0,4.201,0.0,0.0,1.0,0.0
333,05_relocation_capacity,移転・防災偏重,3,2.029,2.029,0.0,,0.0,1.029,0.0,0.0,1.0,0.0
333,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
333,06_balanced,バランス型,2,7.119,7.119,0.0,,2.119,0.0,0.0,2.0,1.0,2.0
333,06_balanced,バランス型,3,5.163,5.0,0.163,unused_mana=0.16,0.0,0.0,0.0,2.0,1.0,2.0
333,07_late_response,後手対応,1,10.0,0.0,10.0,unused_mana=10.00,0.0,0.0,0.0,0.0,0.0,0.0
333,07_late_response,後手対応,2,6.965,6.0,0.965,unused_mana=0.96,0.0,0.0,5.0,0.0,1.0,0.0
333,07_late_response,後手対応,3,4.684,4.684,0.0,,0.0,0.0,0.0,1.684,1.0,2.0
333,08_ecosystem_sacrifice,生態系犠牲型,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
333,08_ecosystem_sacrifice,生態系犠牲型,2,7.101,7.101,0.0,,0.0,0.0,7.101,0.0,0.0,0.0
333,08_ecosystem_sacrifice,生態系犠牲型,3,5.283,5.283,0.0,,0.0,0.0,5.283,0.0,0.0,0.0
333,09_flood_neglect,洪水軽視型,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
333,09_flood_neglect,洪水軽視型,2,6.965,6.965,0.0,,4.965,0.0,0.0,0.0,0.0,2.0
333,09_flood_neglect,洪水軽視型,3,4.652,4.652,0.0,,2.652,0.0,0.0,0.0,0.0,2.0
334,01_no_policy,放置,1,10.0,0.0,10.0,,0.0,0.0,0.0,0.0,0.0,0.0
334,01_no_policy,放置,2,6.974,0.0,6.974,,0.0,0.0,0.0,0.0,0.0,0.0
334,01_no_policy,放置,3,4.472,0.0,4.472,,0.0,0.0,0.0,0.0,0.0,0.0
334,02_hard_infra,堤防偏重,1,10.0,10.0,0.0,,0.0,0.0,10.0,0.0,0.0,0.0
334,02_hard_infra,堤防偏重,2,7.064,7.064,0.0,,0.0,0.0,7.064,0.0,0.0,0.0
334,02_hard_infra,堤防偏重,3,5.289,5.289,0.0,,0.0,0.0,5.289,0.0,0.0,0.0
334,03_nature_based,自然共生偏重,1,10.0,10.0,0.0,,4.0,0.0,0.0,6.0,0.0,0.0
334,03_nature_based,自然共生偏重,2,7.011,7.011,0.0,,1.011,0.0,0.0,6.0,0.0,0.0
334,03_nature_based,自然共生偏重,3,4.681,4.681,0.0,,0.0,0.0,0.0,4.681,0.0,0.0
334,04_agri_rnd,農業R&D偏重,1,10.0,10.0,0.0,,8.0,0.0,0.0,0.0,0.0,2.0
334,04_agri_rnd,農業R&D偏重,2,6.974,6.974,0.0,,4.974,0.0,0.0,0.0,0.0,2.0
334,04_agri_rnd,農業R&D偏重,3,4.645,4.645,0.0,,2.645,0.0,0.0,0.0,0.0,2.0
334,05_relocation_capacity,移転・防災偏重,1,10.0,10.0,0.0,,0.0,9.0,0.0,0.0,1.0,0.0
334,05_relocation_capacity,移転・防災偏重,2,5.187,5.187,0.0,,0.0,4.187,0.0,0.0,1.0,0.0
334,05_relocation_capacity,移転・防災偏重,3,2.039,2.039,0.0,,0.0,1.039,0.0,0.0,1.0,0.0
334,06_balanced,バランス型,1,10.0,10.0,0.0,,1.0,1.0,5.0,1.0,1.0,1.0
334,06_balanced,バランス型,2,7.116,7.116,0.0,,2.116,0.0,0.0,2.0,1.0,2.0
334,06_balanced,バランス型,3,5.167,5.0,0.167,unused_mana=0.17,0.0,0.0,0.0,2.0,1.0,2.0
