seed,scenario,label,severe_flood_count,major_flood_count,flood_notice_count,severe_flood_years,major_flood_years,crop_low_year,ecosystem_low_year,ecosystem_critical_year,resident_capacity_low_t2,high_risk_houses_t2,max_flood_damage_jpy,max_flood_2050_2055,max_flood_2065_2075,max_flood_2080_2100,final_available_budget_mana,final_crop_yield,final_ecosystem_level,final_risky_houses,final_resident_capacity,rain_events
1,01_no_policy,放置,1,1,4,2055,2086,2063,2095,,2075,2075,341732441.3,341732441.3,253192169.7,328909486.7,3.221,4653.0,71.64,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,02_hard_infra,堤防偏重,0,0,1,,,2063,2069,,,,293041491.2,293041491.2,147153417.1,189527555.1,3.774,4653.0,68.64,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,03_nature_based,自然共生偏重,0,1,2,,2055,2052,,,2075,2075,329559703.8,329559703.8,223538428.5,285793669.0,3.358,4606.4,73.77,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,04_agri_rnd,農業R&D偏重,1,0,1,2055,,,,,2075,2075,341732441.3,341732441.3,218582528.6,264318472.4,3.3,5000.0,76.58,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,05_relocation_capacity,移転・防災偏重,0,1,1,,2055,2063,2095,,,,324971089.1,324971089.1,181183333.7,299640163.5,0.371,4653.0,71.64,1391.1,0.391,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,06_balanced,バランス型,0,1,1,,2055,,,,,,303959220.5,303959220.5,179091180.7,260381039.5,3.708,4958.3,72.5,8083.6,0.391,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,07_late_response,後手対応,1,0,1,2055,,2091,2086,,,2075,340325700.3,340325700.3,204008185.7,287026106.9,3.348,4917.5,71.04,8596.4,0.369,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,08_ecosystem_sacrifice,生態系犠牲型,0,0,1,,,2063,2069,,,,293041491.2,293041491.2,147153417.1,189527555.1,3.774,4653.0,68.64,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
1,09_flood_neglect,洪水軽視型,1,0,1,2055,,,,,2075,2075,341732441.3,341732441.3,218582528.6,264318472.4,3.3,5000.0,76.58,8596.4,0.0,"[[2029, 173.6057433507017], [2051, 174.34458875078937], [2055, 280.7358987310297], [2058, 151.0991904587833], [2073, 191.0185953150598], [2080, 162.51882216877968], [2086, 235.9771334325532], [2093, 203.04512487010444], [2095, 187.79751863138503], [2096, 205.23958641399665]]"
2,01_no_policy,放置,1,1,4,2054,2085,2062,2095,,2075,2075,339707266.6,339707266.6,252100698.8,327612381.1,3.645,4488.0,71.64,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,02_hard_infra,堤防偏重,0,0,1,,,2062,2070,,,,291275925.2,291275925.2,146509213.3,188727947.9,4.1,4488.0,68.64,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,03_nature_based,自然共生偏重,0,1,2,,2054,2051,,,2075,2075,327599431.3,327599431.3,223326048.8,285450217.9,3.754,4443.1,73.63,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,04_agri_rnd,農業R&D偏重,1,0,1,2054,,,,,2075,2075,339707266.6,339707266.6,219228204.3,264918259.0,3.717,4928.0,76.43,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,05_relocation_capacity,移転・防災偏重,0,1,1,,2054,2062,2095,,,,322888429.0,322888429.0,181519560.9,297680205.1,0.408,4488.0,71.64,935.3,0.391,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,06_balanced,バランス型,0,1,1,,2054,,,,,,302124791.2,302124791.2,178567268.0,260712756.2,4.003,4807.6,72.39,8127.2,0.391,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,07_late_response,後手対応,1,0,1,2054,,2063,2086,,,2075,338590159.5,338590159.5,203422326.0,293305618.8,3.767,4608.0,70.44,8640.0,0.08,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,08_ecosystem_sacrifice,生態系犠牲型,0,0,1,,,2062,2070,,,,291275925.2,291275925.2,146509213.3,188727947.9,4.1,4488.0,68.64,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
2,09_flood_neglect,洪水軽視型,1,0,1,2054,,,,,2075,2075,339707266.6,339707266.6,219228204.3,264918259.0,3.717,4928.0,76.43,8640.0,0.0,"[[2028, 173.61687485941718], [2050, 174.35407087743476], [2054, 280.5681254045683], [2057, 151.1470847927768], [2072, 191.00077822861826], [2079, 162.54677288710278], [2085, 235.88848186376862], [2092, 203.00902823235757], [2094, 187.78534316173977], [2095, 205.20023739286123]]"
4,01_no_policy,放置,1,2,3,2052,"2083,2100",2061,2095,,2075,2075,335620375.8,335620375.8,249890438.6,324988105.0,3.661,1387.7,71.64,8747.3,0.0,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,02_hard_infra,堤防偏重,0,0,1,,,2061,2069,,,,287714400.3,287714400.3,145205182.1,214687657.9,4.063,2846.5,68.64,8747.3,0.0,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,03_nature_based,自然共生偏重,0,1,3,,2052,2060,,,2075,2075,323643881.9,323643881.9,222905608.5,283325937.5,3.763,1771.5,73.63,8747.3,0.0,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,04_agri_rnd,農業R&D偏重,1,0,1,2052,,,,,2075,2075,335620375.8,335620375.8,220555976.4,264560557.4,3.719,2535.2,76.44,8747.3,0.0,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,05_relocation_capacity,移転・防災偏重,0,1,2,,2052,2061,2095,,,,318382167.0,318382167.0,179538292.9,294116422.3,0.419,1728.8,71.64,1041.7,0.391,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,06_balanced,バランス型,0,0,2,,,,,,,,298409499.1,298409499.1,177440719.5,260080224.8,4.013,2565.2,72.39,8234.5,0.391,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,07_late_response,後手対応,1,0,2,2052,,2086,2086,,,2075,335202560.8,335202560.8,202346396.3,289924294.4,3.773,2142.1,70.44,8747.3,0.08,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,08_ecosystem_sacrifice,生態系犠牲型,0,0,1,,,2061,2069,,,,287714400.3,287714400.3,145205182.1,214687657.9,4.063,2846.5,68.64,8747.3,0.0,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
4,09_flood_neglect,洪水軽視型,1,0,1,2052,,,,,2075,2075,335620375.8,335620375.8,220555976.4,264560557.4,3.719,2535.2,76.44,8747.3,0.0,"[[2026, 173.63913787684822], [2048, 174.37303513072553], [2052, 280.2325787516455], [2055, 151.2428734607638], [2070, 190.96514405573518], [2077, 162.60267432374897], [2083, 235.71117872619942], [2090, 202.93683495686383], [2092, 187.76099222244926], [2093, 205.1215393505904], [2100, 218.13754734502413]]"
67,01_no_policy,放置,2,2,5,"2056,2091","2088,2096",2060,2095,,2075,2075,427666450.4,227591663.6,281042920.2,358027261.4,2.294,4577.5,71.64,9522.2,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,02_hard_infra,堤防偏重,0,1,0,,2056,2060,2071,,2075,2075,329769420.1,179685688.2,204279785.3,237646024.5,3.053,4542.5,69.24,9522.2,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,03_nature_based,自然共生偏重,1,1,3,2056,2091,2052,,,2075,2075,401366487.9,215615169.8,257202952.2,318222790.5,2.527,4531.7,73.02,9522.2,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,04_agri_rnd,農業R&D偏重,1,0,4,2056,,,,,2075,2075,423793395.6,227591663.6,257897030.6,287350883.3,2.466,5000.0,76.12,9522.2,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,05_relocation_capacity,移転・防災偏重,1,0,3,2091,,2060,2095,,,,342635143.2,166290963.6,239665635.3,342635143.2,0.0,4577.5,71.64,2849.8,0.391,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,06_balanced,バランス型,0,0,3,,,2060,,,,,296867139.4,167545571.6,221330571.3,294005805.4,3.072,4899.5,72.08,9009.4,0.391,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,07_late_response,後手対応,1,1,3,2056,2091,2060,2086,,,2075,410991563.6,225928245.4,271534906.0,319955906.4,2.472,4689.6,71.04,9522.2,0.369,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,08_ecosystem_sacrifice,生態系犠牲型,0,1,0,,2056,2060,2071,,2075,2075,329769420.1,179685688.2,204279785.3,233642396.9,2.18,4577.5,69.24,7169.0,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
67,09_flood_neglect,洪水軽視型,1,0,4,2056,,,,,2075,2075,423793395.6,227591663.6,257897030.6,287350883.3,2.466,5000.0,76.12,9522.2,0.0,"[[2030, 202.6425510190598], [2037, 214.4149580623425], [2039, 170.9985051390326], [2043, 168.46219604724763], [2052, 190.03196291440813], [2056, 178.69821195865813], [2065, 219.67022649312185], [2067, 193.68175668195164], [2072, 201.92629804074792], [2080, 191.64791204454673], [2088, 227.4409354158209], [2091, 252.48592717403614], [2096, 220.38694604159892], [2097, 181.02012112273738]]"
239,01_no_policy,放置,3,2,4,"2050,2069,2093","2084,2100",2052,2095,,2075,2075,441525942.5,330773404.2,441525942.5,355941213.9,2.019,1289.2,71.64,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,02_hard_infra,堤防偏重,0,0,2,,,2052,2070,,,,285186541.1,283401019.4,285186541.1,233918035.4,3.037,2532.6,69.24,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,03_nature_based,自然共生偏重,1,2,3,2069,"2050,2093",2041,,,2075,2075,392477889.8,318930308.0,392477889.8,311211948.0,2.293,1668.2,73.54,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,04_agri_rnd,農業R&D偏重,2,0,4,"2050,2069",,,,,2075,2075,392659104.0,330773404.2,392659104.0,281997083.7,2.224,2448.4,76.34,12623.4,0.0,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,05_relocation_capacity,移転・防災偏重,1,2,3,2093,"2050,2100",2052,2095,,,,341657617.0,314635394.6,296856819.1,341657617.0,0.0,1510.0,71.64,5694.7,0.391,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,06_balanced,バランス型,0,0,3,,,,,,,,294127036.2,294127036.2,293943898.2,287510806.9,2.964,2414.6,72.32,12110.6,0.391,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
239,07_late_response,後手対応,2,1,3,"2050,2069",2093,2052,2086,,,2075,400249104.8,330773404.2,400249104.8,318992584.7,2.27,1955.7,71.04,12623.4,0.369,"[[2049, 159.0936760165794], [2050, 279.29639228856144], [2053, 187.80110798407782], [2054, 179.21503932154852], [2060, 153.21178645716898], [2061, 233.36627236326336], [2069, 191.64260132261552], [2073, 167.13739818646627], [2076, 182.93430024484087], [2077, 140.8561799054614], [2084, 224.4990722434786], [2086, 194.3876286419675], [2093, 249.3687918071824], [2094, 187.44865185933676], [2099, 184.2061207619248], [2100, 224.45707392892618]]"
